66,107,25,12,8,5,0,1,0,0,0,0,0,0,0,0
107,3346,3153,1137,748,210,68,36,29,8,3,2,1,0,0,0
25,3153,9550,5973,3422,988,378,197,133,55,14,33,6,0,0,0
12,1137,5973,8696,6979,1817,772,426,331,156,41,101,13,3,0,0
8,748,3422,6979,12136,4338,1902,1085,892,465,117,331,99,10,0,0
5,210,988,1817,4338,2684,1345,840,746,371,109,278,109,11,2,0
0,68,378,772,1902,1345,790,597,580,305,64,232,91,5,3,0
1,36,197,426,1085,840,597,506,518,299,63,174,72,14,1,0
0,29,133,331,892,746,580,518,604,396,114,294,104,15,3,0
0,8,55,156,465,371,305,299,396,292,93,246,97,11,1,0
0,3,14,41,117,109,64,63,114,93,24,101,42,6,1,0
0,2,33,101,331,278,232,174,294,246,101,412,216,43,4,1
0,1,6,13,99,109,91,72,104,97,42,216,262,58,12,1
0,0,0,3,10,11,5,14,15,11,6,43,58,22,9,0
0,0,0,0,0,2,3,1,3,1,1,4,12,9,6,0
0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
